Date,BTC_returns,BTC_binary,BTC_forecast
2024-08-26,-0.021582061663033336,0,0
2024-08-27,-0.05441321577489899,0,1
2024-08-28,-0.006397374400403888,0,0
2024-08-29,0.0054901422717748005,1,1
2024-08-30,-0.003959297838693754,0,1
2024-08-31,-0.0025370412247210927,0,0
2024-09-01,-0.028353686091105557,0,0
2024-09-02,0.03194084799341579,1,1
2024-09-03,-0.0278089086254798,0,1
2024-09-04,0.008404750022309004,1,1
2024-09-05,-0.030893086013844884,0,0
2024-09-06,-0.03946297614809535,0,0
2024-09-07,0.0036671443399056702,1,1
2024-09-08,0.013092295801802267,1,0
2024-09-09,0.03958541970605056,1,1
2024-09-10,0.010413204305599333,1,1
2024-09-11,-0.005170207018218909,0,0
2024-09-12,0.013853291011196811,1,1
2024-09-13,0.04069474605520651,1,1
